"gene_name","blast_annot","GOs","pfams","signalP","TMHMM","rhy_foragers","rhy_nurses","identity"
"LOC105247785","RPII140-upstream gene protein",NA,"PF02466|Tim17/Tim22/Tim23/Pmp24 family",0,1,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105247800","histone acetyltransferase KAT2A isoform X1","GO:0004402|histone acetyltransferase activity; GO:0005515|protein binding; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated","PF00439|Bromodomain; PF06466|PCAF (P300/CBP-associated factor) N-terminal domain; PF00583|Acetyltransferase (GNAT) family",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105247811","AP-3 complex subunit sigma-2 isoform X1","GO:0015031|protein transport","PF01217|Clathrin adaptor complex small chain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105247815","G patch domain-containing protein 4","GO:0003676|nucleic acid binding","PF01585|G-patch domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105247816",NA,NA,NA,NA,NA,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105247836","DNA replication complex GINS protein PSF3",NA,"PF05916|GINS complex protein",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105247839","52 kDa repressor of the inhibitor of the protein kinase","GO:0003676|nucleic acid binding","PF05485|THAP domain",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105247843","LOW QUALITY PROTEIN: mitochondrial glycine transporter",NA,"PF00153|Mitochondrial carrier protein; PF00153|Mitochondrial carrier protein; PF00153|Mitochondrial carrier protein",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105247864","COMM domain-containing protein 4",NA,"PF07258|COMM domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105247906","uncharacterized protein LOC105247906 isoform X1",NA,NA,0,1,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105247917","chromosome transmission fidelity protein 8 homolog","GO:0007064|mitotic sister chromatid cohesion; GO:0031390|Ctf18 RFC-like complex","PF09696|Ctf8",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105247918","small nuclear ribonucleoprotein F","GO:0000398|mRNA splicing, via spliceosome; GO:0005732|small nucleolar ribonucleoprotein complex","PF01423|LSM domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105247919","leukocyte receptor cluster member 1 homolog",NA,"PF10197|N-terminal domain of CBF1 interacting co-repressor CIR",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105247920","tigger transposable element-derived protein 7",NA,"PF03221|Tc5 transposase DNA-binding domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105247931","zinc finger protein 511",NA,NA,0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105247965","zinc finger protein 277 isoform X1",NA,"PF12756|C2H2 type zinc-finger (2 copies); PF12756|C2H2 type zinc-finger (2 copies)",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105247977","transmembrane emp24 domain-containing protein eca",NA,"PF01105|emp24/gp25L/p24 family/GOLD",1,2,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105247981","ADP-ribosylation factor-like protein 8B-A","GO:0005525|GTP binding","PF00025|ADP-ribosylation factor family",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248009","mediator of RNA polymerase II transcription subunit 27","GO:0016592|mediator complex","PF11571|Mediator complex subunit 27",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248010","uncharacterized protein LOC105248010",NA,"PF11303|Protein of unknown function (DUF3105)",1,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248026","NTF2-related export protein",NA,"PF02136|Nuclear transport factor 2 (NTF2) domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248068","uncharacterized protein LOC105248068",NA,NA,0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248080","uncharacterized protein LOC105248080 isoform X1","GO:0006281|DNA repair; GO:0019104|DNA N-glycosylase activity","PF03167|Uracil DNA glycosylase superfamily",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
